obs,Oil,SP500,ln(OIL),ln(SP500),SPReturns,Unnamed: 6,Oil(+),Oil(-),Unnamed: 9,CPI,Real Oil,RealSP500,ln(realSP500),RealSPreturns,Unnamed: 15,Real oil(+),Real Oil(-),Date,WTI_Return,SP500_Return,WTI_Zscore,SP500_Zscore
2004M02,34.67999473168041,1144.9394127963808,3.546163,7.043107,1.2134999999999785,3.546163,41.631983,-41.081552,2004M02,186.2,18.625131434844473,614.8976438219017,6.421455821145125,0.6749957369112103,18.625131434844473,28.127043,-28.289093,2004-02-01,0.010783729756500993,0.012208927847998208,-0.020510902661075695,0.17571317802698863
2004M03,36.73999706862649,1126.2096709230557,3.603866,7.026613,-1.6493999999999787,3.603866,41.689686,-41.081552,2004M03,187.4,19.60512116789033,600.9656728511503,6.39853781618377,-2.2918004961355543,19.60512116789033,28.178322,-28.289093,2004-03-01,0.059400307090134996,-0.016358718779345582,0.5563165063653807,-0.5053623084160946
2004M04,36.74999170703835,1107.3001121649975,3.604138,7.00968,-1.6932999999999865,3.604138,41.689958,-41.081552,2004M04,188,19.547867929275718,588.9894213643603,6.378408223158142,-2.0129593025627557,19.547867929275718,28.178322,-28.292018,2004-04-01,0.00027203699535394144,-0.016790442531504524,-0.14523034677751284,-0.5156549470904069
2004M05,40.27999726698753,1120.6800863936423,3.695855,7.021691,1.2010999999999328,3.695855,41.781675,-41.081552,2004M05,189.1,21.300897549966965,592.6388611283144,6.384585210323679,0.6176987165536829,21.300897549966965,28.264205,-28.292018,2004-05-01,0.09605459473540812,0.012083421722485221,0.9912133858194189,0.17272101186782285
2004M06,38.029987756617366,1140.8398720446032,3.638375,7.03952,1.782900000000076,3.638375,41.781675,-41.139032,2004M06,189.7,20.04743687749993,601.3916036081198,6.399246309047124,1.4661098723444788,20.04743687749993,28.264205,-28.352666,2004-06-01,-0.055859226986944566,0.01798888540603527,-0.8112182328866705,0.313511977375498
2004M07,40.78000957733464,1101.7201388788562,3.708192,7.004628,-3.4892000000000145,3.708192,41.851492,-41.139032,2004M07,189.4,21.531156059838775,581.6896192602197,6.3659370052361135,-3.330930381101016,21.531156059838775,28.335605,-28.352666,2004-07-01,0.07231193021456495,-0.03429029272586426,0.7095107154533675,-0.932865336846367
2004M08,44.900009215806385,1104.2404477524906,3.804438,7.006913,0.22849999999996484,3.804438,41.947738,-41.139032,2004M08,189.5,23.693936261639255,582.7126373364067,6.36769416146561,0.17571562294964593,23.693936261639255,28.431323,-28.352666,2004-08-01,0.10102988403322066,0.002287612602052569,1.050244345878979,-0.060818892515354245
2004M09,45.93999093783275,1114.5800765521105,3.827336,7.016233,0.9319999999999773,3.827336,41.970636,-41.139032,2004M09,189.9,24.19167505941693,586.9300034502952,6.374905568169851,0.7211406704240808,24.19167505941693,28.452113,-28.352666,2004-09-01,0.023162171683035027,0.009363566441226379,0.12635720233255415,0.10787749210217693
2004M10,53.27999860235193,1130.2001274913785,3.975561,7.03015,1.391700000000018,3.975561,42.118861,-41.139032,2004M10,190.9,27.909899739314785,592.0377828660966,6.38357045525639,0.8664887086538897,27.909899739314785,28.595085,-28.352666,2004-10-01,0.15977381611702723,0.014014292259366012,1.7472310939873412,0.21875450588710169
2004M11,48.46999758341748,1173.8203912848905,3.880945,7.068019,3.786899999999971,3.880945,42.118861,-41.233648,2004M11,191,25.37696208555889,614.5656498873773,6.4209157579414615,3.7345302685071857,25.37696208555889,28.595085,-28.447805,2004-11-01,-0.09027779927010215,0.03859516799943452,-1.2195887303866757,0.8047821937905193
2004M12,43.14998198360856,1211.919808698361,3.764682,7.099961,3.1942000000000803,3.764682,42.118861,-41.349911,2004M12,190.3,22.674714652448007,636.8469830259385,6.456529411685988,3.561365374452663,22.674714652448007,28.595085,-28.560397,2004-12-01,-0.10975894089231397,0.03245762102647243,-1.4507291574410444,0.6584581775106351
2005M01,46.84002160591444,1181.269515819318,3.846738,7.074345,-2.5616000000000305,3.846738,42.200917,-41.349911,2005M01,190.7,24.562150815896402,619.4386553850646,6.428813673381718,-2.7715738304269877,24.562150815896402,28.675042,-28.560397,2005-01-01,0.08551659705692605,-0.025290693871867997,0.8661818383394132,-0.7183077204198428
2005M02,48.14999334354539,1203.5995850518825,3.874321,7.093072,1.872700000000016,3.874321,42.2285,-41.349911,2005M02,191.8,25.104271816238473,627.5284593596884,6.441789023538754,1.297535015703577,25.104271816238473,28.696873,-28.560397,2005-02-01,0.027966932821942736,0.018903450003174394,0.18336487483338534,0.33531592699744367
